service,service_name,geo_type,geo_name,geo_slug,tier,proposed_url,priority,action
narkolog-na-dom,Нарколог на дом,metro,Нагорная,nagornaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/nagornaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Нахимовский проспект,nahimovskij-prospekt,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/nahimovskij-prospekt/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Нижегородская,nizhegorodskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/nizhegorodskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Новогиреево,novogireevo,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/novogireevo/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Новохохловская,novohohlovskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/novohohlovskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Новокосино,novokosino,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/novokosino/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Новокузнецкая,novokuzneckaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/novokuzneckaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Новослободская,novoslobodskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/novoslobodskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Новоясеневская,novoyasenevskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/novoyasenevskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Новые Черёмушки,novye-cheremushki,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/novye-cheremushki/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Охотный Ряд,ohotnyj-ryad,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/ohotnyj-ryad/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Окружная,okruzhnaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/okruzhnaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Октябрьское Поле,oktyabrskoe-pole,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/oktyabrskoe-pole/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Октябрьская,oktyabrskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/oktyabrskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Орехово,orehovo,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/orehovo/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Отрадное,otradnoe,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/otradnoe/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Панфиловская,panfilovskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/panfilovskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Парк культуры,park-kultury,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/park-kultury/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Парк Победы,park-pobedy,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/park-pobedy/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Партизанская,partizanskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/partizanskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Павелецкая,paveleckaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/paveleckaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Печатники,pechatniki,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/pechatniki/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Перово,perovo,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/perovo/,P0,migrate/create
